

########## SHEET: K-CURE 암공공(병기조사_간암)_데이터셋(목록)정보 ##########
K-CURE 암 공공 병기조사_간암 DB 데이터 카탈로그 레이아웃
제공기관 : 국가암데이터센터
연번 | 데이터셋 한글명(테이블 한글명) | 데이터셋명(테이블명) | 변수(항목)개수
1 | 암_공공_병기조사_간암_DB_암등록 | CS_LV_RGST | 11
2 | 암_공공_병기조사_간암_DB_사망 | CS_LV_DEATH | 3
3 | 암_공공_병기조사_간암_DB_자격및보험료 | CS_LV_BFC | 6
4 | 암_공공_병기조사_간암_DB_명세서일반내역 | CS_LV_T200 | 22
5 | 암_공공_병기조사_간암_DB_진료내역 | CS_LV_T300 | 13
6 | 암_공공_병기조사_간암_DB_상병내역 | CS_LV_T400 | 6
7 | 암_공공_병기조사_간암_DB_원외처방내역 | CS_LV_T530 | 10
8 | 암_공공_병기조사_간암_DB_일반건강검진_대상자 | CS_LV_G1E_OBJ | 2
9 | 암_공공_병기조사_간암_DB_일반건강검진_문진_0708 | CS_LV_G1Q_0708 | 24
10 | 암_공공_병기조사_간암_DB_일반건강검진_문진_0917 | CS_LV_G1Q_0917 | 31
11 | 암_공공_병기조사_간암_DB_일반건강검진_문진_1823 | CS_LV_G1Q_1823 | 88
12 | 암_공공_병기조사_간암_DB_일반건강검진_결과및판정 | CS_LV_G1E | 21
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 67
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 82
15 | 암_공공_병기조사_간암_DB_암검진_간암_0708 | CS_LV_CLV_RST_0708 | 53
16 | 암_공공_병기조사_간암_DB_암검진_간암_0923 | CS_LV_CLV_RST_0923 | 60


########## SHEET: K-CURE 암공공(병기조사_간암)_데이터셋(항목)정보 ##########
K-CURE 암 공공 병기조사_간암 DB 데이터 카탈로그 레이아웃
제공기관 : 국가암데이터센터
※ 카탈로그에 기재된 설명 외의 자세한 코드값은 보건의료빅데이터개방시스템(https://opendata.hira.or.kr) 참고
연번 | 데이터셋명(테이블 한글명) | 데이터셋명(테이블명) | SUB NO | 변수 (컬럼한글명) | 변수명 (컬럼명) | 설명 | 값 | 형식 (Data Type)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 30 | [문진3] (부모) 과거병력 유무 | QC_PFHX_ETC_PRT | [문진3] (부모) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 31 | [문진3] (형제) 과거병력 유무 | QC_PFHX_ETC_BRT | [문진3] (형제) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 32 | [문진3] (자매) 과거병력 유무 | QC_PFHX_ETC_SST | [문진3] (자매) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 33 | [문진4] 만성 염증성 대장질환(크론병, 궤양성 대장염 등)을 앓고 계시거나 과거에 앓으신 적이 있습니까? 병원에서 진단 받으신 경우만 해당됩니다. | QC_PHX_IBS_YN | [문진4] 만성 염증성 대장질환(크론병, 궤양성 대장염 등)을 앓고 계시거나 과거에 앓으신 적이 있습니까? 병원에서 진단 받으신 경우만 해당됩니다. | 0: 아니오, 1: 예, 2: 모르겠다 | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 34 | [문진5] 선종성 대장용종(폴립)이나 가족성 대장용종증을 앓고 계시거나 과거에 앓으신 적이 있습니까? | QC_PHX_CPO_YN | [문진5] 선종성 대장용종(폴립)이나 가족성 대장용종증을 앓고 계시거나 과거에 앓으신 적이 있습니까? | 0: 아니오, 1: 예, 2: 모르겠다 | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 35 | [문진6] 간 질환이 있으십니까?-B형간염바이러스보유자 | QC_PHX_HBVC_YN | [문진6] 간 질환이 있으십니까?-B형간염바이러스보유자 | 0: 없다, 1: 있다 | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 36 | [문진6] 간 질환이 있으십니까?-C형간염바이러스보유자 | QC_PHX_HCVC_YN | [문진6] 간 질환이 있으십니까?-C형간염바이러스보유자 | 0: 없다, 1: 있다 | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 37 | [문진6] 간 질환이 있으십니까?-만성B형간염 | QC_PHX_CHB_YN | [문진6] 간 질환이 있으십니까?-만성B형간염 | 0: 없다, 1: 있다 | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 38 | [문진6] 간 질환이 있으십니까?-만성C형간염 | QC_PHX_CHC_YN | [문진6] 간 질환이 있으십니까?-만성C형간염 | 0: 없다, 1: 있다 | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 39 | [문진6] 간 질환이 있으십니까?-간경화/간경변 | QC_PHX_LC_YN | [문진6] 간 질환이 있으십니까?-간경화/간경변 | 0: 없다, 1: 있다 | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 40 | [문진7] 김치를 제외하고 하루에 몇 가지 채소 (익힌 것과 날것)를 드십니까? | QC_NTR_VGT_AMT | [문진7] 김치를 제외하고 하루에 몇 가지 채소 (익힌 것과 날것)를 드십니까? | 0: 거의 안먹음(김치만 먹음), 1: 1-2가지, 2: 3-4가지, 3: 5-6가지, 4: 7가지 이상 | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 41 | [문진8] 일주일에 과일을 몇 번 드십니까? | QC_NTR_FRT_AMT | [문진8] 일주일에 과일을 몇 번 드십니까? | 0: 거의 안먹음, 1: 1-2가지, 2: 3-4가지, 3: 5-6가지, 4: 7가지 이상 | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 42 | [문진9] 일주일에 붉은 살코기(소고기, 돼지고기 등)를 몇 번 드십니까? | QC_NTR_RM_AMT | [문진9] 일주일에 붉은 살코기(소고기, 돼지고기 등)를 몇 번 드십니까? | 0: 거의 안먹음, 1: 1-2가지, 2: 3-4가지, 3: 5-6가지, 4: 7가지 이상 | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 43 | [문진10] 외식을 하실 때 음식의 간에 대해 어떻게 느끼십니까? | QC_NTR_LS | [문진10] 외식을 하실 때 음식의 간에 대해 어떻게 느끼십니까? | 1: 짜다, 2: 보통이다, 3: 싱겁다 | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 44 | [문진11] 귀하는 지금까지 평생 총 20갑(400개피) 이상의 담배를 피운 적이 있습니까? | QC_SMK_YN | [문진11] 귀하는 지금까지 평생 총 20갑(400개피) 이상의 담배를 피운 적이 있습니까? | 0: 아니오, 1: 예, 지금은 끊었음, 2: 예, 현재도 흡연중 | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 45 | [문진11-1] 담배를 끊은 지 _년 되었음 | QC_SMK_PRE_DRT | [문진11-1] 담배를 끊은 지 _년 되었음 | _년 | VARCHAR(2)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 46 | [문진12-1] _세부터 | QC_SMK_STRT_YR | [문진12-1] _세부터 | _세 | VARCHAR(2)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 47 | [문진12-2] 총 _년간 | QC_SMK_DRT | [문진12-2] 총 _년간 | _년 | VARCHAR(2)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 48 | [문진12-3] 하루 평균 _개피 피웠음 | QC_SMK_AMT | [문진12-3] 하루 평균 _개피 피웠음 | _개피 | DECIMAL(22,4)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 49 | [문진13] 하루 30분 이상 약간 숨이 찰 정도로 걷거나 운동 하기를 일주일에 몇 일 정도 하십니까? | QC_PA_MD_FRQ | [문진13] 하루 30분 이상 약간 숨이 찰 정도로 걷거나 운동 하기를 일주일에 몇 일 정도 하십니까? | 0: 거의 안함, 1: 1-2일, 2: 3-4일, 3: 5일 이상 | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 50 | [문진14] 현재 귀하의 음주상태는 어떻습니까? | QC_DRK_YN | [문진14] 현재 귀하의 음주상태는 어떻습니까? | 0: 원래부터 음주하지 않음, 1: 끊었음, 2: 현재도 음주 중 | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 51 | [문진14-1] 음주를 끊은 지 _년 되었음 | QC_DRK_PRE_DRT | [문진14-1] 음주를 끊은 지 _년 되었음 | _년 | VARCHAR(2)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 52 | [문진15] 음주 횟수는? | QC_DRK_FRQ | [문진15] 음주 횟수는? | 1: 월 1-3회, 2: 주 1-2회, 3: 주 3-4회, 4: 거의 매일 | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 53 | [문진15-1] 한번 마실때, 평균 어느 정도 마십니까? (소주 2홉 1병 기준으로) | QC_DRK_AMT | [문진15-1] 한번 마실때, 평균 어느 정도 마십니까? (소주 2홉 1병 기준으로) | 1: 소주 반병 이하, 2: 소주 1병, 3: 소주 1병 반, 4: 소주 2병 이상 | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 54 | [문진16] 암과 관련된 검사경험-위투시촬영(UGI)유무 | QC_TST_UGI_YN | [문진16] 암과 관련된 검사경험-위투시촬영(UGI)유무 | 0: 10년 이상 또는 한적 없음, 1: 1년 이내, 2: 1년~2년 사이, 3: 2년~10년 사이 | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 55 | [문진16] 암과 관련된 검사경험-위내시경 유무 | QC_TST_GSC_YN | [문진16] 암과 관련된 검사경험-위내시경 유무 | 0: 10년 이상 또는 한적 없음, 1: 1년 이내, 2: 1년~2년 사이, 3: 2년~10년 사이 | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 56 | [문진16] 암과 관련된 검사경험-대변잠혈검사유무 | QC_TST_FOBT_YN | [문진16] 암과 관련된 검사경험-대변잠혈검사유무 | 0: 10년 이상 또는 한적 없음, 1: 1년 이내, 2: 1년~2년 사이, 3: 2년~10년 사이 | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 57 | [문진16] 암과 관련된 검사경험-대장이중조영검사(대장 x선 촬영) | QC_TST_DCBE_YN | [문진16] 암과 관련된 검사경험-대장이중조영검사(대장 x선 촬영) | 0: 10년 이상 또는 한적 없음, 1: 1년 이내, 2: 1년~2년 사이, 3: 2년~10년 사이 | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 58 | [문진16] 암과 관련된 검사경험-대장내시경유무 | QC_TST_CSC_YN | [문진16] 암과 관련된 검사경험-대장내시경유무 | 0: 10년 이상 또는 한적 없음, 1: 1년 이내, 2: 1년~2년 사이, 3: 2년~10년 사이 | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 59 | [문진16] 암과 관련된 검사경험-간초음파 | QC_TST_LVUS_YN | [문진16] 암과 관련된 검사경험-간초음파 | 0: 10년 이상 또는 한적 없음, 1: 1년 이내, 2: 1년~2년 사이, 3: 2년~10년 사이 | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 60 | [문진17] 월경을 언제 시작하셨습니까? | QC_MNC_YN | [문진17] 월경을 언제 시작하셨습니까? | 0: 초경이 없었음, 1: 만_세 | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 61 | [문진17-1] 초경 시작 나이 | QC_MNC_AGE | [문진17-1] 초경 시작 나이 | _세 | VARCHAR(2)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 62 | [문진18] 현재 월경의 상태는 어떠십니까? | QC_MNS_YN | [문진18] 현재 월경의 상태는 어떠십니까? | 1: 아직 월경이 있음, 2: 폐경되었음(만_세) | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 63 | [문진18-1] 폐경 나이 | QC_MNP_AGE | [문진18-1] 폐경 나이 | _세 | VARCHAR(2)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 64 | [문진19] 폐경 후 증상을 완화하기 위해서 호르몬 제제를 복용하고 계시거나 과거에 복용하신 적이 있습니까? | QC_ERT_YN | [문진19] 폐경 후 증상을 완화하기 위해서 호르몬 제제를 복용하고 계시거나 과거에 복용하신 적이 있습니까? | 0: 호르몬 제제를 복용한 적 없음, 1: 5년 미만 복용, 2: 5년 이상 복용, 3: 모르겠음 | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 65 | [문진22] 피임약을 복용하고 계시거나 과거에 복용하신 적이 있습니까? | QC_OPLL_YN | [문진22] 피임약을 복용하고 계시거나 과거에 복용하신 적이 있습니까? | 0: 피임약을 복용한 적 없음, 1: 5년 미만 복용, 2: 5년 이상 복용, 3: 모르겠음 | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 66 | [문진23] 암과 관련된 검사경험-유방엑스선검사유무 | QC_TST_MMG_YN | [문진23] 암과 관련된 검사경험-유방엑스선검사유무 | 0: 10년 이상 또는 한적 없음, 1: 1년 이내, 2: 1년~2년 사이, 3: 2년~10년 사이 | VARCHAR(1)
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 67 | [문진23] 암과 관련된 검사경험-자궁경부세포검사 | QC_TST_PPSM_YN | [문진23] 암과 관련된 검사경험-자궁경부세포검사 | 0: 10년 이상 또는 한적 없음, 1: 1년 이내, 2: 1년~2년 사이, 3: 2년~10년 사이 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 1 | 검진사업연도 | EXMD_BZ_YYYY | 검진사업연도 | 2009~2023 | VARCHAR(4)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 2 | [문진1] 현재 신체 어느 부위에든 불편한 증상이 있습니까? | QC_SX_YN | [문진1] 현재 신체 어느 부위에든 불편한 증상이 있습니까? | 0: 아니오, 1: 예(증상: _) | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 3 | [문진2] 최근 6개월 간 특별한 이유 없이 5kg 이상의 체중감소가 있었습니까? | QC_WT_LSS | [문진2] 최근 6개월 간 특별한 이유 없이 5kg 이상의 체중감소가 있었습니까? | 0: 아니오, 1: 체중감소(kg) | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 4 | [문진2] (체중감소인 경우)감소 체중 | QC_WT_LSS_AMT | [문진2] (체중감소인 경우)감소 체중 | _kg | DECIMAL(22,4)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 5 | [문진3] 위암 유무 | QC_PFHX_CST_YN | [문진3] 위암 유무 | 0: 없다, 1: 있다, 2: 모르겠다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 6 | [문진3] (본인) 과거병력 유무 | QC_PFHX_CST_I | [문진3] (본인) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 7 | [문진3] (부모) 과거병력 유무 | QC_PFHX_CST_PRT | [문진3] (부모) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 8 | [문진3] (형제) 과거병력 유무 | QC_PFHX_CST_BRT | [문진3] (형제) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 9 | [문진3] (자매) 과거병력 유무 | QC_PFHX_CST_SST | [문진3] (자매) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 10 | [문진3] (자녀) 과거병력 유무 | QC_PFHX_CST_CDR | [문진3] (자녀) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 11 | [문진3] 유방암 유무 | QC_PFHX_CBR_YN | [문진3] 유방암 유무 | 0: 없다, 1: 있다, 2: 모르겠다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 12 | [문진3] (본인) 과거병력 유무 | QC_PFHX_CBR_I | [문진3] (본인) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 13 | [문진3] (부모) 과거병력 유무 | QC_PFHX_CBR_PRT | [문진3] (부모) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 14 | [문진3] (형제) 과거병력 유무 | QC_PFHX_CBR_BRT | [문진3] (형제) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 15 | [문진3] (자매) 과거병력 유무 | QC_PFHX_CBR_SST | [문진3] (자매) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 16 | [문진3] (자녀) 과거병력 유무 | QC_PFHX_CBR_CDR | [문진3] (자녀) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 17 | [문진3] 대장암 유무 | QC_PFHX_CCR_YN | [문진3] 대장암 유무 | 0: 없다, 1: 있다, 2: 모르겠다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 18 | [문진3] (본인) 과거병력 유무 | QC_PFHX_CCR_I | [문진3] (본인) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 19 | [문진3] (부모) 과거병력 유무 | QC_PFHX_CCR_PRT | [문진3] (부모) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 20 | [문진3] (형제) 과거병력 유무 | QC_PFHX_CCR_BRT | [문진3] (형제) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 21 | [문진3] (자매) 과거병력 유무 | QC_PFHX_CCR_SST | [문진3] (자매) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 22 | [문진3] (자녀) 과거병력 유무 | QC_PFHX_CCR_CDR | [문진3] (자녀) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 23 | [문진3] 간암 유무 | QC_PFHX_CLV_YN | [문진3] 간암 유무 | 0: 없다, 1: 있다, 2: 모르겠다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 24 | [문진3] (본인) 과거병력 유무 | QC_PFHX_CLV_I | [문진3] (본인) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 25 | [문진3] (부모) 과거병력 유무 | QC_PFHX_CLV_PRT | [문진3] (부모) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 26 | [문진3] (형제) 과거병력 유무 | QC_PFHX_CLV_BRT | [문진3] (형제) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 27 | [문진3] (자매) 과거병력 유무 | QC_PFHX_CLV_SST | [문진3] (자매) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 28 | [문진3] (자녀) 과거병력 유무 | QC_PFHX_CLV_CDR | [문진3] (자녀) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 29 | [문진3] 자궁경부암 유무 | QC_PFHX_CCX_YN | [문진3] 자궁경부암 유무 | 0: 없다, 1: 있다, 2: 모르겠다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 30 | [문진3] (본인) 과거병력 유무 | QC_PFHX_CCX_I | [문진3] (본인) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 31 | [문진3] (부모) 과거병력 유무 | QC_PFHX_CCX_PRT | [문진3] (부모) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 32 | [문진3] (형제) 과거병력 유무 | QC_PFHX_CCX_BRT | [문진3] (형제) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 33 | [문진3] (자매) 과거병력 유무 | QC_PFHX_CCX_SST | [문진3] (자매) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 34 | [문진3] (자녀) 과거병력 유무 | QC_PFHX_CCX_CDR | [문진3] (자녀) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 35 | [문진3] 폐암 유무 | QC_PFHX_CLU_YN | [문진3] 폐암 유무 | 0: 없다, 1: 있다, 2: 모르겠다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 36 | [문진3] (본인) 과거병력 유무 | QC_PHFX_CLU_I | [문진3] (본인) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 37 | [문진3] (부모) 과거병력 유무 | QC_PHFX_CLU_PRT | [문진3] (부모) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 38 | [문진3] (형제) 과거병력 유무 | QC_PHFX_CLU_BRT | [문진3] (형제) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 39 | [문진3] (자매) 과거병력 유무 | QC_PHFX_CLU_SST | [문진3] (자매) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 40 | [문진3] (자녀) 과거병력 유무 | QC_PHFX_CLU_CDR | [문진3] (자녀) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 41 | [문진3] 기타 유무 | QC_PFHX_ETC_YN | [문진3] 기타 유무 | 0: 없다, 1: 있다, 2: 모르겠다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 42 | [문진3] (본인) 과거병력 유무 | QC_PFHX_ETC_I | [문진3] (본인) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 43 | [문진3] (부모) 과거병력 유무 | QC_PFHX_ETC_PRT | [문진3] (부모) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 44 | [문진3] (형제) 과거병력 유무 | QC_PFHX_ETC_BRT | [문진3] (형제) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 45 | [문진3] (자매) 과거병력 유무 | QC_PFHX_ETC_SST | [문진3] (자매) 과거병력 유무 | 0: 없다, 1: 있다 | VARCHAR(1)
