

########## SHEET: K-CURE 암공공(병기조사_간암)_데이터셋(목록)정보 ##########
K-CURE 암 공공 병기조사_간암 DB 데이터 카탈로그 레이아웃
제공기관 : 국가암데이터센터
연번 | 데이터셋 한글명(테이블 한글명) | 데이터셋명(테이블명) | 변수(항목)개수
1 | 암_공공_병기조사_간암_DB_암등록 | CS_LV_RGST | 11
2 | 암_공공_병기조사_간암_DB_사망 | CS_LV_DEATH | 3
3 | 암_공공_병기조사_간암_DB_자격및보험료 | CS_LV_BFC | 6
4 | 암_공공_병기조사_간암_DB_명세서일반내역 | CS_LV_T200 | 22
5 | 암_공공_병기조사_간암_DB_진료내역 | CS_LV_T300 | 13
6 | 암_공공_병기조사_간암_DB_상병내역 | CS_LV_T400 | 6
7 | 암_공공_병기조사_간암_DB_원외처방내역 | CS_LV_T530 | 10
8 | 암_공공_병기조사_간암_DB_일반건강검진_대상자 | CS_LV_G1E_OBJ | 2
9 | 암_공공_병기조사_간암_DB_일반건강검진_문진_0708 | CS_LV_G1Q_0708 | 24
10 | 암_공공_병기조사_간암_DB_일반건강검진_문진_0917 | CS_LV_G1Q_0917 | 31
11 | 암_공공_병기조사_간암_DB_일반건강검진_문진_1823 | CS_LV_G1Q_1823 | 88
12 | 암_공공_병기조사_간암_DB_일반건강검진_결과및판정 | CS_LV_G1E | 21
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 67
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 82
15 | 암_공공_병기조사_간암_DB_암검진_간암_0708 | CS_LV_CLV_RST_0708 | 53
16 | 암_공공_병기조사_간암_DB_암검진_간암_0923 | CS_LV_CLV_RST_0923 | 60


########## SHEET: K-CURE 암공공(병기조사_간암)_데이터셋(항목)정보 ##########
K-CURE 암 공공 병기조사_간암 DB 데이터 카탈로그 레이아웃
제공기관 : 국가암데이터센터
※ 카탈로그에 기재된 설명 외의 자세한 코드값은 보건의료빅데이터개방시스템(https://opendata.hira.or.kr) 참고
연번 | 데이터셋명(테이블 한글명) | 데이터셋명(테이블명) | SUB NO | 변수 (컬럼한글명) | 변수명 (컬럼명) | 설명 | 값 | 형식 (Data Type)
3 | 암_공공_병기조사_간암_DB_자격및보험료 | CS_LV_BFC | 6 | 주장애 유형 | MAIN_DSB_TYPE_ADJ | 주장애유형 | 0: 미해당, 1: 지체, 2: 뇌병변, 3: 시각, 4: 청각, 5: 그 외 기타 장애 | VARCHAR(1)
4 | 암_공공_병기조사_간암_DB_명세서일반내역 | CS_LV_T200 | 1 | 명세서조인키 | MID | 각 테이블을 연결하여 한 건의 명세서를 생성할 수 있는 대체식별자 | 최대 9자리의 정수로 이루어진 임의의 난수 | VARCHAR(10)
4 | 암_공공_병기조사_간암_DB_명세서일반내역 | CS_LV_T200 | 2 | 요양기관식별대체키 | YID | 요양기관기호 대체번호 | 최대 5자리의 정수로 이루어진 임의의 난수 | VARCHAR(6)
4 | 암_공공_병기조사_간암_DB_명세서일반내역 | CS_LV_T200 | 3 | 요양기관종별구분코드 | CL_CD | 요양기관종별구분코드 | 01: 상급종합병원, 11: 종합병원, 21: 병원, 28: 요양병원, 29: 정신병원,  31: 의원, 41: 치과병원, 51: 치과의원, 61: 조산원, 71: 보건소, 72: 보건지소,  73: 보건진료소, 74: 모자보건센타, 75: 보건의료원, 81: 약국, 91: 한방종합병원,  92: 한방병원, 93: 한의원, 94: 한약방, AA: 병의원 | VARCHAR(2)
4 | 암_공공_병기조사_간암_DB_명세서일반내역 | CS_LV_T200 | 4 | 요양기관기호지역구분코드 | RVD_PLC_CD | 요양기관기호지역구분코드 | - 요양기관 소재지 11: 서울, 21: 부산, 22: 인천, 23: 대구, 24: 광주, 25: 대전, 26: 울산, 31: 경기,  32: 강원, 33: 충북, 34: 충남, 35: 전북, 36: 전남, 37: 경북, 38: 경남, 39: 제주, 41: 세종 | VARCHAR(2)
4 | 암_공공_병기조사_간암_DB_명세서일반내역 | CS_LV_T200 | 5 | 서식구분코드 | FOM_TP_CD | 서식구분코드 | - 요양급여비용심사(의료보호) 청구서 및 명세서의 진료 구분명세서 서식 구분 021: 의과입원, 031: 의과외래, 041: 치과입원, 051: 치과외래, 061: 조산원입원,  071: 보건기관입원의과, 072: 보건기관입원치과, 073: 보건기관입원한방,  081: 보건기관외래의과, 082: 보건기관외래치과, 083: 보건기관외래한방,  091: 정신과낮병동, 101: 정신과입원, 111: 정신과외래, 121: 한방입원, 131: 한방외래,  151: 의료급여혈액투석정액, 201: 약국직접조제, 211: 약국처방조제,  991: 조산원외래 | VARCHAR(3)
4 | 암_공공_병기조사_간암_DB_명세서일반내역 | CS_LV_T200 | 6 | 주상병코드 | M_SICK_CD | 주된 상병 분류기호 (한국표준질병·사인분류, KCD 사용) * 상병코드의 최대 4자리까지 제공 * 정신질환코드의 경우 최대 3자리 제공 | 주된 상병 분류기호(한국표준질병·사인분류, KCD 사용) | VARCHAR(4)
4 | 암_공공_병기조사_간암_DB_명세서일반내역 | CS_LV_T200 | 7 | 부상병코드 | SUB_SICK_CD | 주된 상병 분류기호외의 추가 상병 분류기호 * 상병코드의 최대 4자리까지 제공 * 정신질환코드의 경우 최대 3자리 제공 | 주된 상병 분류기호외의 추가 상병 분류기호 | VARCHAR(4)
4 | 암_공공_병기조사_간암_DB_명세서일반내역 | CS_LV_T200 | 8 | 진료과목코드 | DGSBJT_CD | 진료를 받은 진료과목(병원급이상) 또는 상병명에 해당하는 진료과목(의원급)을 기재하되, 진료과목이 2개 이상에 해당되는 경우 상병별로 모두 기재 | 00: 일반의, 01: 내과, 02: 신경과, 03: 정신건강의학과, 04: 외과, …, 90: 한방소계 | VARCHAR(2)
4 | 암_공공_병기조사_간암_DB_명세서일반내역 | CS_LV_T200 | 9 | 요양개시일자 | RECU_FR_DD | 수진자의 진료 시작일자 | YYYYMMDD | VARCHAR(8)
